Timer started ...
MOD: delay(1250 1250), type(tTMRCO20), from(I1.OSCOUT), to(I1.TIMEROUT)
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P1.Q ), to(DIS2b.D )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P1.Q ), to(DIS2a.D )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P1.Q ), to(DIS1g )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P1.Q ), to(DIS1f )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P1.Q ), to(DIS1e )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P1.Q ), to(DIS1d )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P1.Q ), to(DIS1c )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P1.Q ), to(DIS1b )
NET: delay(410 410), type(tFBK+tROUTE+tBLA*9+tMCELL), from(P1.Q ), to(DIS1a )
NET: delay(405 405), type(tFBK+tROUTE+tBLA*8+tMCELL), from(P0.Q ), to(dd13.D )
NET: delay(405 405), type(tFBK+tROUTE+tBLA*8+tMCELL), from(P0.Q ), to(dd12.D )
NET: delay(405 405), type(tFBK+tROUTE+tBLA*8+tMCELL), from(P0.Q ), to(dd10.D )
NET: delay(405 405), type(tFBK+tROUTE+tBLA*8+tMCELL), from(P0.Q ), to(dd9.D )
NET: delay(405 405), type(tFBK+tROUTE+tBLA*8+tMCELL), from(P0.Q ), to(dd8.D )
NET: delay(405 405), type(tFBK+tROUTE+tBLA*8+tMCELL), from(P0.Q ), to(dd7.D )
NET: delay(405 405), type(tFBK+tROUTE+tBLA*8+tMCELL), from(P0.Q ), to(P0.T )
NET: delay(405 405), type(tFBK+tROUTE+tBLA*8+tMCELL), from(P0.Q ), to(P1.D )
NET: delay(405 405), type(tFBK+tROUTE+tBLA*8+tMCELL), from(P0.Q ), to(P2.D )
NET: delay(405 405), type(tFBK+tROUTE+tBLA*8+tMCELL), from(P0.Q ), to(P3.D )
NET: delay(405 405), type(tFBK+tROUTE+tBLA*8+tMCELL), from(P0.Q ), to(DIS2g.D )
NET: delay(405 405), type(tFBK+tROUTE+tBLA*8+tMCELL), from(P0.Q ), to(DIS2f.D )
NET: delay(405 405), type(tFBK+tROUTE+tBLA*8+tMCELL), from(P0.Q ), to(DIS2d.D )
NET: delay(405 405), type(tFBK+tROUTE+tBLA*8+tMCELL), from(P0.Q ), to(DIS2c.D )
NET: delay(405 405), type(tFBK+tROUTE+tBLA*8+tMCELL), from(P0.Q ), to(DIS2b.D )
NET: delay(405 405), type(tFBK+tROUTE+tBLA*8+tMCELL), from(P0.Q ), to(DIS2a.D )
NET: delay(405 405), type(tFBK+tROUTE+tBLA*8+tMCELL), from(P0.Q ), to(DIS1g )
NET: delay(405 405), type(tFBK+tROUTE+tBLA*8+tMCELL), from(P0.Q ), to(DIS1f )
NET: delay(405 405), type(tFBK+tROUTE+tBLA*8+tMCELL), from(P0.Q ), to(DIS1d )
NET: delay(405 405), type(tFBK+tROUTE+tBLA*8+tMCELL), from(P0.Q ), to(DIS1c )
NET: delay(405 405), type(tFBK+tROUTE+tBLA*8+tMCELL), from(P0.Q ), to(DIS1b )
NET: delay(405 405), type(tFBK+tROUTE+tBLA*8+tMCELL), from(P0.Q ), to(DIS1a )
NET: delay(370 370), type(tFBK+tROUTE+tBLA+tMCELL), from(L16.Q ), to(L16.D )
NET: delay(370 370), type(tFBK+tROUTE+tBLA+tMCELL), from(L16.Q ), to(LED16 )
NET: delay(365 365), type(tFBK+tROUTE+tMCELL), from(dd14.Q ), to(DIS4a.D )
NET: delay(365 365), type(tFBK+tROUTE+tMCELL), from(dd15.Q ), to(DIS4b.D )
NET: delay(365 365), type(tFBK+tROUTE+tMCELL), from(dd16.Q ), to(DIS4c.D )
NET: delay(365 365), type(tFBK+tROUTE+tMCELL), from(dd17.Q ), to(DIS4d.D )
NET: delay(365 365), type(tFBK+tROUTE+tMCELL), from(dd18.Q ), to(DIS4e.D )
NET: delay(365 365), type(tFBK+tROUTE+tMCELL), from(dd19.Q ), to(DIS4f.D )
NET: delay(365 365), type(tFBK+tROUTE+tMCELL), from(dd20.Q ), to(DIS4g.D )
NET: delay(365 365), type(tFBK+tROUTE+tMCELL), from(dd7.Q ), to(dd14.D )
NET: delay(365 365), type(tFBK+tROUTE+tMCELL), from(dd7.Q ), to(DIS3a.D )
NET: delay(365 365), type(tFBK+tROUTE+tMCELL), from(dd8.Q ), to(dd15.D )
NET: delay(365 365), type(tFBK+tROUTE+tMCELL), from(dd8.Q ), to(DIS3b.D )
NET: delay(365 365), type(tFBK+tROUTE+tMCELL), from(dd9.Q ), to(dd16.D )
NET: delay(365 365), type(tFBK+tROUTE+tMCELL), from(dd9.Q ), to(DIS3c.D )
NET: delay(365 365), type(tFBK+tROUTE+tMCELL), from(dd10.Q ), to(dd17.D )
NET: delay(365 365), type(tFBK+tROUTE+tMCELL), from(dd10.Q ), to(DIS3d.D )
NET: delay(365 365), type(tFBK+tROUTE+tMCELL), from(dd11.Q ), to(dd18.D )
NET: delay(365 365), type(tFBK+tROUTE+tMCELL), from(dd11.Q ), to(DIS3e.D )
NET: delay(365 365), type(tFBK+tROUTE+tMCELL), from(dd12.Q ), to(dd19.D )
NET: delay(365 365), type(tFBK+tROUTE+tMCELL), from(dd12.Q ), to(DIS3f.D )
NET: delay(365 365), type(tFBK+tROUTE+tMCELL), from(dd13.Q ), to(dd20.D )
NET: delay(365 365), type(tFBK+tROUTE+tMCELL), from(dd13.Q ), to(DIS3g.D )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*2+tPTSR), from(Q3_0.OUT), to(Q0.AR )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*2+tPTSR), from(Q3_0.OUT), to(Q1.AR )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*2+tBSR), from(Q3_0.OUT), to(Q2.AR )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*2+tBSR), from(Q3_0.OUT), to(Q3.AR )
Fmax/Tpd has been written in: .\lab11.lco
Timing report has been written in: .\lab11.trp



Timer ended.
